Deck Code   -  Average T5 Damage
13-13-01-03 - Avg. Dmg. : 40.9889
10-10-02-08 - Avg. Dmg. : 40.9874
12-09-01-08 - Avg. Dmg. : 40.9856
09-11-05-05 - Avg. Dmg. : 40.9854
14-08-02-06 - Avg. Dmg. : 40.9801
12-08-03-07 - Avg. Dmg. : 40.9785
14-12-00-04 - Avg. Dmg. : 40.9775
11-09-06-04 - Avg. Dmg. : 40.9768
12-08-06-04 - Avg. Dmg. : 40.9767
10-16-00-04 - Avg. Dmg. : 40.9732
09-12-01-08 - Avg. Dmg. : 40.9731
14-08-04-04 - Avg. Dmg. : 40.9721
09-11-03-07 - Avg. Dmg. : 40.9696
09-15-02-04 - Avg. Dmg. : 40.9666
14-11-02-03 - Avg. Dmg. : 40.9665
11-12-05-02 - Avg. Dmg. : 40.9646
14-09-04-03 - Avg. Dmg. : 40.9601
14-08-03-05 - Avg. Dmg. : 40.9562
10-11-06-03 - Avg. Dmg. : 40.9546
09-13-00-08 - Avg. Dmg. : 40.9492
14-09-00-07 - Avg. Dmg. : 40.9481
11-08-05-06 - Avg. Dmg. : 40.9446
13-08-02-07 - Avg. Dmg. : 40.943
09-16-00-05 - Avg. Dmg. : 40.9404
12-12-04-02 - Avg. Dmg. : 40.94
10-09-05-06 - Avg. Dmg. : 40.9366
13-07-05-05 - Avg. Dmg. : 40.9222
12-11-05-02 - Avg. Dmg. : 40.9149
12-10-06-02 - Avg. Dmg. : 40.9134
13-07-04-06 - Avg. Dmg. : 40.9098
10-11-00-09 - Avg. Dmg. : 40.9081
14-12-01-03 - Avg. Dmg. : 40.9064
15-09-01-05 - Avg. Dmg. : 40.905
13-11-04-02 - Avg. Dmg. : 40.9049
11-09-07-03 - Avg. Dmg. : 40.9028
15-10-01-04 - Avg. Dmg. : 40.9025
15-08-02-05 - Avg. Dmg. : 40.8974
10-09-04-07 - Avg. Dmg. : 40.8971
10-15-02-03 - Avg. Dmg. : 40.8961
15-09-02-04 - Avg. Dmg. : 40.8933
13-12-03-02 - Avg. Dmg. : 40.8923
11-13-04-02 - Avg. Dmg. : 40.8915
12-13-03-02 - Avg. Dmg. : 40.8876
11-11-06-02 - Avg. Dmg. : 40.8857
09-10-05-06 - Avg. Dmg. : 40.8855
13-09-00-08 - Avg. Dmg. : 40.8854
10-09-06-05 - Avg. Dmg. : 40.8822
11-08-04-07 - Avg. Dmg. : 40.874
13-08-06-03 - Avg. Dmg. : 40.8709
