Deck Code   -  Average T5 Damage
05-14-02-09 - Avg. Dmg. : 39.0294
07-09-12-02 - Avg. Dmg. : 39.0284
07-08-04-11 - Avg. Dmg. : 39.0262
10-04-10-06 - Avg. Dmg. : 39.0238
05-17-00-08 - Avg. Dmg. : 39.0235
20-04-04-02 - Avg. Dmg. : 39.0233
05-15-01-09 - Avg. Dmg. : 39.0231
09-08-00-13 - Avg. Dmg. : 39.0223
15-03-03-09 - Avg. Dmg. : 39.0152
10-19-01-00 - Avg. Dmg. : 39.0149
06-12-10-02 - Avg. Dmg. : 39.0141
05-16-05-04 - Avg. Dmg. : 39.0099
11-05-13-01 - Avg. Dmg. : 39.0095
05-12-06-07 - Avg. Dmg. : 39.0092
17-13-00-00 - Avg. Dmg. : 39.0068
11-04-12-03 - Avg. Dmg. : 39.0045
08-10-12-00 - Avg. Dmg. : 39.0042
12-03-11-04 - Avg. Dmg. : 39.002
15-04-01-10 - Avg. Dmg. : 39.0012
05-14-06-05 - Avg. Dmg. : 39.0002
05-16-00-09 - Avg. Dmg. : 38.9993
05-12-05-08 - Avg. Dmg. : 38.997
10-04-09-07 - Avg. Dmg. : 38.9959
18-02-08-02 - Avg. Dmg. : 38.9956
18-04-00-08 - Avg. Dmg. : 38.9925
16-02-10-02 - Avg. Dmg. : 38.9923
20-04-02-04 - Avg. Dmg. : 38.9906
08-06-12-04 - Avg. Dmg. : 38.9883
06-20-01-03 - Avg. Dmg. : 38.9879
07-16-07-00 - Avg. Dmg. : 38.9876
05-19-00-06 - Avg. Dmg. : 38.9867
14-03-04-09 - Avg. Dmg. : 38.9853
16-02-05-07 - Avg. Dmg. : 38.9845
09-05-12-04 - Avg. Dmg. : 38.9836
20-06-03-01 - Avg. Dmg. : 38.9798
05-13-07-05 - Avg. Dmg. : 38.9784
20-07-00-03 - Avg. Dmg. : 38.9764
08-20-01-01 - Avg. Dmg. : 38.9761
06-18-04-02 - Avg. Dmg. : 38.9745
19-05-06-00 - Avg. Dmg. : 38.9735
05-14-07-04 - Avg. Dmg. : 38.973
19-03-07-01 - Avg. Dmg. : 38.9716
05-18-02-05 - Avg. Dmg. : 38.971
19-03-02-06 - Avg. Dmg. : 38.969
17-04-00-09 - Avg. Dmg. : 38.9673
14-02-08-06 - Avg. Dmg. : 38.9633
06-09-10-05 - Avg. Dmg. : 38.9631
17-03-02-08 - Avg. Dmg. : 38.9618
07-08-12-03 - Avg. Dmg. : 38.9606
14-02-10-04 - Avg. Dmg. : 38.9601
08-07-13-02 - Avg. Dmg. : 38.9598
19-10-00-01 - Avg. Dmg. : 38.9592
05-15-06-04 - Avg. Dmg. : 38.9567
10-05-13-02 - Avg. Dmg. : 38.9556
07-13-10-00 - Avg. Dmg. : 38.9552
05-12-07-06 - Avg. Dmg. : 38.953
19-02-06-03 - Avg. Dmg. : 38.9507
08-08-13-01 - Avg. Dmg. : 38.9506
10-07-00-13 - Avg. Dmg. : 38.9502
14-04-12-00 - Avg. Dmg. : 38.9479
11-04-05-10 - Avg. Dmg. : 38.9474
09-19-02-00 - Avg. Dmg. : 38.9472
12-05-13-00 - Avg. Dmg. : 38.9466
05-17-04-04 - Avg. Dmg. : 38.9455
20-07-01-02 - Avg. Dmg. : 38.9444
18-02-04-06 - Avg. Dmg. : 38.9435
19-04-07-00 - Avg. Dmg. : 38.9422
09-06-13-02 - Avg. Dmg. : 38.9416
10-05-04-11 - Avg. Dmg. : 38.9409
07-19-03-01 - Avg. Dmg. : 38.9403
20-05-04-01 - Avg. Dmg. : 38.9388
07-10-12-01 - Avg. Dmg. : 38.9365
19-04-00-07 - Avg. Dmg. : 38.9364
05-13-03-09 - Avg. Dmg. : 38.934
07-07-11-05 - Avg. Dmg. : 38.9333
06-15-08-01 - Avg. Dmg. : 38.9282
19-02-05-04 - Avg. Dmg. : 38.927
06-10-03-11 - Avg. Dmg. : 38.9239
05-19-01-05 - Avg. Dmg. : 38.9211
13-03-12-02 - Avg. Dmg. : 38.9208
07-07-06-10 - Avg. Dmg. : 38.9152
15-02-06-07 - Avg. Dmg. : 38.9144
12-03-07-08 - Avg. Dmg. : 38.9134
07-07-07-09 - Avg. Dmg. : 38.913
07-17-06-00 - Avg. Dmg. : 38.9127
06-10-11-03 - Avg. Dmg. : 38.9122
19-09-02-00 - Avg. Dmg. : 38.9112
10-04-08-08 - Avg. Dmg. : 38.9078
09-08-13-00 - Avg. Dmg. : 38.903
20-05-00-05 - Avg. Dmg. : 38.8988
20-03-04-03 - Avg. Dmg. : 38.8979
13-03-05-09 - Avg. Dmg. : 38.8942
06-19-03-02 - Avg. Dmg. : 38.8865
17-02-04-07 - Avg. Dmg. : 38.8864
05-15-00-10 - Avg. Dmg. : 38.8861
20-04-01-05 - Avg. Dmg. : 38.8841
20-04-05-01 - Avg. Dmg. : 38.8838
09-05-06-10 - Avg. Dmg. : 38.8806
20-03-05-02 - Avg. Dmg. : 38.8782
05-12-08-05 - Avg. Dmg. : 38.8778
20-03-03-04 - Avg. Dmg. : 38.874
06-16-07-01 - Avg. Dmg. : 38.8683
14-02-11-03 - Avg. Dmg. : 38.8681
08-07-03-12 - Avg. Dmg. : 38.8678
10-04-11-05 - Avg. Dmg. : 38.8677
19-02-07-02 - Avg. Dmg. : 38.8672
11-19-00-00 - Avg. Dmg. : 38.866
16-03-02-09 - Avg. Dmg. : 38.8657
20-07-02-01 - Avg. Dmg. : 38.8656
05-12-04-09 - Avg. Dmg. : 38.8654
05-18-03-04 - Avg. Dmg. : 38.8652
19-02-04-05 - Avg. Dmg. : 38.8601
05-15-07-03 - Avg. Dmg. : 38.8582
06-14-09-01 - Avg. Dmg. : 38.8558
14-02-07-07 - Avg. Dmg. : 38.8542
07-12-11-00 - Avg. Dmg. : 38.8484
10-04-07-09 - Avg. Dmg. : 38.8479
10-04-12-04 - Avg. Dmg. : 38.845
15-02-11-02 - Avg. Dmg. : 38.8412
17-03-10-00 - Avg. Dmg. : 38.8412
20-08-00-02 - Avg. Dmg. : 38.8369
14-03-12-01 - Avg. Dmg. : 38.8364
05-16-06-03 - Avg. Dmg. : 38.8356
06-12-00-12 - Avg. Dmg. : 38.8345
05-13-02-10 - Avg. Dmg. : 38.8249
05-11-07-07 - Avg. Dmg. : 38.8232
06-17-06-01 - Avg. Dmg. : 38.8207
12-03-12-03 - Avg. Dmg. : 38.8199
05-14-01-10 - Avg. Dmg. : 38.8179
09-07-01-13 - Avg. Dmg. : 38.8159
06-08-08-08 - Avg. Dmg. : 38.8153
06-09-05-10 - Avg. Dmg. : 38.8097
12-03-06-09 - Avg. Dmg. : 38.8063
12-04-13-01 - Avg. Dmg. : 38.8063
18-12-00-00 - Avg. Dmg. : 38.8058
06-11-01-12 - Avg. Dmg. : 38.8056
06-09-11-04 - Avg. Dmg. : 38.8045
05-13-08-04 - Avg. Dmg. : 38.8033
20-03-02-05 - Avg. Dmg. : 38.8033
08-19-03-00 - Avg. Dmg. : 38.8014
18-03-09-00 - Avg. Dmg. : 38.7973
11-04-13-02 - Avg. Dmg. : 38.7889
07-10-00-13 - Avg. Dmg. : 38.7884
06-11-11-02 - Avg. Dmg. : 38.7865
05-19-02-04 - Avg. Dmg. : 38.7831
17-01-08-04 - Avg. Dmg. : 38.7809
20-08-01-01 - Avg. Dmg. : 38.7808
19-10-01-00 - Avg. Dmg. : 38.7798
06-13-10-01 - Avg. Dmg. : 38.7787
20-06-04-00 - Avg. Dmg. : 38.7785
07-07-12-04 - Avg. Dmg. : 38.7755
08-08-01-13 - Avg. Dmg. : 38.7736
17-02-10-01 - Avg. Dmg. : 38.7734
16-04-00-10 - Avg. Dmg. : 38.7718
18-03-01-08 - Avg. Dmg. : 38.7718
05-17-05-03 - Avg. Dmg. : 38.7703
13-05-00-12 - Avg. Dmg. : 38.7702
08-09-13-00 - Avg. Dmg. : 38.7673
20-02-05-03 - Avg. Dmg. : 38.7671
13-02-09-06 - Avg. Dmg. : 38.7668
16-03-11-00 - Avg. Dmg. : 38.7661
06-18-05-01 - Avg. Dmg. : 38.7651
09-06-03-12 - Avg. Dmg. : 38.7614
20-03-06-01 - Avg. Dmg. : 38.7568
11-03-09-07 - Avg. Dmg. : 38.7536
08-06-05-11 - Avg. Dmg. : 38.7535
18-02-09-01 - Avg. Dmg. : 38.7528
12-05-01-12 - Avg. Dmg. : 38.7523
05-11-08-06 - Avg. Dmg. : 38.7512
05-11-05-09 - Avg. Dmg. : 38.7503
20-05-05-00 - Avg. Dmg. : 38.7494
05-12-09-04 - Avg. Dmg. : 38.7487
13-02-10-05 - Avg. Dmg. : 38.7487
07-18-05-00 - Avg. Dmg. : 38.7467
12-04-03-11 - Avg. Dmg. : 38.7459
06-08-09-07 - Avg. Dmg. : 38.7415
16-02-11-01 - Avg. Dmg. : 38.7415
11-03-10-06 - Avg. Dmg. : 38.7411
14-04-01-11 - Avg. Dmg. : 38.7405
09-05-13-03 - Avg. Dmg. : 38.7398
05-14-08-03 - Avg. Dmg. : 38.7373
05-11-06-08 - Avg. Dmg. : 38.7368
17-01-09-03 - Avg. Dmg. : 38.7356
17-01-07-05 - Avg. Dmg. : 38.7339
07-21-00-02 - Avg. Dmg. : 38.7328
17-03-01-09 - Avg. Dmg. : 38.7327
07-08-13-02 - Avg. Dmg. : 38.7323
08-05-09-08 - Avg. Dmg. : 38.7238
16-01-09-04 - Avg. Dmg. : 38.7237
06-08-10-06 - Avg. Dmg. : 38.7232
13-04-02-11 - Avg. Dmg. : 38.7207
20-02-04-04 - Avg. Dmg. : 38.7198
19-03-08-00 - Avg. Dmg. : 38.7175
07-08-03-12 - Avg. Dmg. : 38.7162
06-10-02-12 - Avg. Dmg. : 38.7159
16-02-04-08 - Avg. Dmg. : 38.7143
20-07-03-00 - Avg. Dmg. : 38.7129
19-02-03-06 - Avg. Dmg. : 38.7125
08-06-13-03 - Avg. Dmg. : 38.7118
05-13-09-03 - Avg. Dmg. : 38.7033
18-02-03-07 - Avg. Dmg. : 38.7028
13-02-11-04 - Avg. Dmg. : 38.7006
06-08-07-09 - Avg. Dmg. : 38.6986
15-02-05-08 - Avg. Dmg. : 38.6984
20-04-00-06 - Avg. Dmg. : 38.6939
19-03-01-07 - Avg. Dmg. : 38.6928
07-11-12-00 - Avg. Dmg. : 38.6924
07-07-05-11 - Avg. Dmg. : 38.6914
06-20-02-02 - Avg. Dmg. : 38.6913
05-12-03-10 - Avg. Dmg. : 38.6896
05-11-09-05 - Avg. Dmg. : 38.6893
11-05-02-12 - Avg. Dmg. : 38.688
14-03-03-10 - Avg. Dmg. : 38.6867
18-01-07-04 - Avg. Dmg. : 38.6866
16-01-10-03 - Avg. Dmg. : 38.6833
10-05-03-12 - Avg. Dmg. : 38.6818
11-06-00-13 - Avg. Dmg. : 38.6784
20-04-06-00 - Avg. Dmg. : 38.6776
05-18-04-03 - Avg. Dmg. : 38.6771
13-04-13-00 - Avg. Dmg. : 38.6752
21-05-02-02 - Avg. Dmg. : 38.6744
19-02-08-01 - Avg. Dmg. : 38.6733
16-01-08-05 - Avg. Dmg. : 38.6688
06-21-00-03 - Avg. Dmg. : 38.6673
07-20-02-01 - Avg. Dmg. : 38.6672
10-04-13-03 - Avg. Dmg. : 38.6654
18-01-08-03 - Avg. Dmg. : 38.6633
15-03-12-00 - Avg. Dmg. : 38.6625
08-05-10-07 - Avg. Dmg. : 38.6596
20-02-06-02 - Avg. Dmg. : 38.657
11-03-11-05 - Avg. Dmg. : 38.6551
09-05-05-11 - Avg. Dmg. : 38.6513
10-06-14-00 - Avg. Dmg. : 38.6505
06-09-04-11 - Avg. Dmg. : 38.6489
14-02-06-08 - Avg. Dmg. : 38.6479
07-06-10-07 - Avg. Dmg. : 38.646
13-02-08-07 - Avg. Dmg. : 38.6439
06-12-11-01 - Avg. Dmg. : 38.643
07-09-01-13 - Avg. Dmg. : 38.6417
13-03-04-10 - Avg. Dmg. : 38.6403
21-04-02-03 - Avg. Dmg. : 38.6399
07-09-13-01 - Avg. Dmg. : 38.6372
10-05-14-01 - Avg. Dmg. : 38.6369
05-14-00-11 - Avg. Dmg. : 38.6316
11-03-12-04 - Avg. Dmg. : 38.6286
20-03-01-06 - Avg. Dmg. : 38.6276
14-02-12-02 - Avg. Dmg. : 38.6224
18-01-06-05 - Avg. Dmg. : 38.6197
09-07-14-00 - Avg. Dmg. : 38.6196
21-04-03-02 - Avg. Dmg. : 38.6174
20-09-00-01 - Avg. Dmg. : 38.6171
09-04-11-06 - Avg. Dmg. : 38.6158
15-03-02-10 - Avg. Dmg. : 38.6152
05-10-08-07 - Avg. Dmg. : 38.6142
20-08-02-00 - Avg. Dmg. : 38.6138
21-05-01-03 - Avg. Dmg. : 38.6134
17-01-06-06 - Avg. Dmg. : 38.6104
06-08-11-05 - Avg. Dmg. : 38.6065
08-05-11-06 - Avg. Dmg. : 38.6059
19-01-06-04 - Avg. Dmg. : 38.6033
17-02-03-08 - Avg. Dmg. : 38.6012
08-21-00-01 - Avg. Dmg. : 38.6
05-10-07-08 - Avg. Dmg. : 38.5963
07-06-09-08 - Avg. Dmg. : 38.5961
09-20-01-00 - Avg. Dmg. : 38.5932
09-06-14-01 - Avg. Dmg. : 38.5931
19-01-07-03 - Avg. Dmg. : 38.5918
11-03-08-08 - Avg. Dmg. : 38.5903
16-01-07-06 - Avg. Dmg. : 38.5883
17-01-10-02 - Avg. Dmg. : 38.5879
09-04-10-07 - Avg. Dmg. : 38.5872
05-19-03-03 - Avg. Dmg. : 38.5858
05-10-06-09 - Avg. Dmg. : 38.5828
05-20-00-05 - Avg. Dmg. : 38.5827
05-10-09-06 - Avg. Dmg. : 38.582
05-13-01-11 - Avg. Dmg. : 38.5799
20-02-03-05 - Avg. Dmg. : 38.5787
10-06-01-13 - Avg. Dmg. : 38.577
10-04-06-10 - Avg. Dmg. : 38.5763
15-01-09-05 - Avg. Dmg. : 38.5731
21-03-03-03 - Avg. Dmg. : 38.5706
06-10-12-02 - Avg. Dmg. : 38.57
08-05-08-09 - Avg. Dmg. : 38.5699
12-03-13-02 - Avg. Dmg. : 38.5698
19-01-08-02 - Avg. Dmg. : 38.5697
05-11-10-04 - Avg. Dmg. : 38.5683
13-03-13-01 - Avg. Dmg. : 38.5662
07-06-11-06 - Avg. Dmg. : 38.5658
11-05-14-00 - Avg. Dmg. : 38.5654
21-04-01-04 - Avg. Dmg. : 38.5623
05-11-04-10 - Avg. Dmg. : 38.5593
08-07-14-01 - Avg. Dmg. : 38.5569
21-06-01-02 - Avg. Dmg. : 38.5567
15-02-12-01 - Avg. Dmg. : 38.5563
15-01-10-04 - Avg. Dmg. : 38.5536
05-16-07-02 - Avg. Dmg. : 38.5528
05-12-02-11 - Avg. Dmg. : 38.5512
08-08-14-00 - Avg. Dmg. : 38.551
21-05-03-01 - Avg. Dmg. : 38.549
19-01-05-05 - Avg. Dmg. : 38.5451
10-20-00-00 - Avg. Dmg. : 38.5428
21-03-04-02 - Avg. Dmg. : 38.5423
19-11-00-00 - Avg. Dmg. : 38.5388
11-04-04-11 - Avg. Dmg. : 38.5378
16-03-01-10 - Avg. Dmg. : 38.5378
08-05-12-05 - Avg. Dmg. : 38.5368
06-09-12-03 - Avg. Dmg. : 38.532
07-06-12-05 - Avg. Dmg. : 38.5307
06-08-06-10 - Avg. Dmg. : 38.5261
07-19-04-00 - Avg. Dmg. : 38.5245
21-06-00-03 - Avg. Dmg. : 38.5204
06-11-12-01 - Avg. Dmg. : 38.5201
07-07-13-03 - Avg. Dmg. : 38.5115
15-04-00-11 - Avg. Dmg. : 38.5082
18-01-09-02 - Avg. Dmg. : 38.5075
05-15-08-02 - Avg. Dmg. : 38.5066
20-03-07-00 - Avg. Dmg. : 38.5043
21-06-02-01 - Avg. Dmg. : 38.5042
07-07-04-12 - Avg. Dmg. : 38.5039
13-02-12-03 - Avg. Dmg. : 38.502
08-06-04-12 - Avg. Dmg. : 38.499
21-05-00-04 - Avg. Dmg. : 38.4982
20-02-07-01 - Avg. Dmg. : 38.4916
15-01-08-06 - Avg. Dmg. : 38.4895
21-04-04-01 - Avg. Dmg. : 38.4894
14-02-05-09 - Avg. Dmg. : 38.4887
21-03-02-04 - Avg. Dmg. : 38.4857
11-03-07-09 - Avg. Dmg. : 38.4856
13-02-07-08 - Avg. Dmg. : 38.4855
14-03-13-00 - Avg. Dmg. : 38.4814
09-06-02-13 - Avg. Dmg. : 38.4792
05-14-09-02 - Avg. Dmg. : 38.4784
07-10-13-00 - Avg. Dmg. : 38.4777
19-02-02-07 - Avg. Dmg. : 38.4753
12-03-05-10 - Avg. Dmg. : 38.4749
17-02-11-00 - Avg. Dmg. : 38.4732
06-08-12-04 - Avg. Dmg. : 38.4728
09-05-14-02 - Avg. Dmg. : 38.472
05-17-06-02 - Avg. Dmg. : 38.4711
11-03-13-03 - Avg. Dmg. : 38.4707
06-11-00-13 - Avg. Dmg. : 38.4696
06-07-10-07 - Avg. Dmg. : 38.4686
07-08-02-13 - Avg. Dmg. : 38.4685
05-20-01-04 - Avg. Dmg. : 38.4667
05-12-10-03 - Avg. Dmg. : 38.4616
18-02-10-00 - Avg. Dmg. : 38.4594
15-01-11-03 - Avg. Dmg. : 38.4589
20-09-01-00 - Avg. Dmg. : 38.4585
18-01-05-06 - Avg. Dmg. : 38.4584
16-01-11-02 - Avg. Dmg. : 38.453
21-07-00-02 - Avg. Dmg. : 38.4527
11-04-14-01 - Avg. Dmg. : 38.4504
09-04-12-05 - Avg. Dmg. : 38.4501
12-02-10-06 - Avg. Dmg. : 38.4471
15-02-04-09 - Avg. Dmg. : 38.4449
19-02-09-00 - Avg. Dmg. : 38.4433
08-07-02-13 - Avg. Dmg. : 38.4405
06-07-09-08 - Avg. Dmg. : 38.4376
09-04-09-08 - Avg. Dmg. : 38.4371
08-06-14-02 - Avg. Dmg. : 38.4368
06-14-10-00 - Avg. Dmg. : 38.436
16-01-06-07 - Avg. Dmg. : 38.4322
08-20-02-00 - Avg. Dmg. : 38.4312
12-02-11-05 - Avg. Dmg. : 38.4254
21-04-00-05 - Avg. Dmg. : 38.4251
06-08-05-11 - Avg. Dmg. : 38.4206
17-01-05-07 - Avg. Dmg. : 38.4196
05-10-10-05 - Avg. Dmg. : 38.4188
10-04-14-02 - Avg. Dmg. : 38.4174
07-06-07-10 - Avg. Dmg. : 38.4162
18-02-02-08 - Avg. Dmg. : 38.4118
06-09-03-12 - Avg. Dmg. : 38.4116
05-11-03-11 - Avg. Dmg. : 38.4106
19-03-00-08 - Avg. Dmg. : 38.4095
05-18-05-02 - Avg. Dmg. : 38.4078
07-06-08-09 - Avg. Dmg. : 38.4063
21-03-05-01 - Avg. Dmg. : 38.4048
12-04-14-00 - Avg. Dmg. : 38.4042
05-10-05-10 - Avg. Dmg. : 38.4018
09-04-08-09 - Avg. Dmg. : 38.4011
06-19-04-01 - Avg. Dmg. : 38.4009
10-04-05-11 - Avg. Dmg. : 38.3998
06-07-08-09 - Avg. Dmg. : 38.3991
06-15-09-00 - Avg. Dmg. : 38.3981
08-05-13-04 - Avg. Dmg. : 38.3973
21-07-01-01 - Avg. Dmg. : 38.3969
08-08-00-14 - Avg. Dmg. : 38.3904
18-03-00-09 - Avg. Dmg. : 38.3891
16-02-12-00 - Avg. Dmg. : 38.389
09-04-13-04 - Avg. Dmg. : 38.3888
20-01-06-03 - Avg. Dmg. : 38.3888
06-21-01-02 - Avg. Dmg. : 38.3878
20-02-02-06 - Avg. Dmg. : 38.3851
06-16-08-00 - Avg. Dmg. : 38.3819
06-09-13-02 - Avg. Dmg. : 38.38
15-01-07-07 - Avg. Dmg. : 38.3723
21-05-04-00 - Avg. Dmg. : 38.3714
06-10-01-13 - Avg. Dmg. : 38.3704
21-02-05-02 - Avg. Dmg. : 38.3696
20-01-05-04 - Avg. Dmg. : 38.3675
08-05-07-10 - Avg. Dmg. : 38.3651
04-16-03-07 - Avg. Dmg. : 38.3644
21-02-04-03 - Avg. Dmg. : 38.3598
15-01-12-02 - Avg. Dmg. : 38.3595
05-11-11-03 - Avg. Dmg. : 38.3593
10-03-11-06 - Avg. Dmg. : 38.3575
09-07-00-14 - Avg. Dmg. : 38.3554
21-02-03-04 - Avg. Dmg. : 38.3549
05-13-10-02 - Avg. Dmg. : 38.3542
06-17-07-00 - Avg. Dmg. : 38.3533
12-04-02-12 - Avg. Dmg. : 38.3502
09-05-04-12 - Avg. Dmg. : 38.3501
19-01-09-01 - Avg. Dmg. : 38.3487
21-03-01-05 - Avg. Dmg. : 38.3466
16-02-03-09 - Avg. Dmg. : 38.3431
12-02-09-07 - Avg. Dmg. : 38.3427
18-01-10-01 - Avg. Dmg. : 38.3415
04-15-03-08 - Avg. Dmg. : 38.3402
06-13-11-00 - Avg. Dmg. : 38.3398
05-10-11-04 - Avg. Dmg. : 38.3371
05-09-08-08 - Avg. Dmg. : 38.3361
04-15-04-07 - Avg. Dmg. : 38.3359
07-08-14-01 - Avg. Dmg. : 38.3359
14-03-02-11 - Avg. Dmg. : 38.3332
21-06-03-00 - Avg. Dmg. : 38.3312
04-15-05-06 - Avg. Dmg. : 38.3301
06-07-11-06 - Avg. Dmg. : 38.3281
07-06-13-04 - Avg. Dmg. : 38.3268
20-01-07-02 - Avg. Dmg. : 38.3261
09-04-07-10 - Avg. Dmg. : 38.3258
20-03-00-07 - Avg. Dmg. : 38.3244
05-13-00-12 - Avg. Dmg. : 38.3234
14-02-13-01 - Avg. Dmg. : 38.3233
13-02-13-02 - Avg. Dmg. : 38.3213
07-21-01-01 - Avg. Dmg. : 38.319
13-03-03-11 - Avg. Dmg. : 38.319
04-17-03-06 - Avg. Dmg. : 38.3147
21-04-05-00 - Avg. Dmg. : 38.3146
04-16-04-06 - Avg. Dmg. : 38.3102
05-20-02-03 - Avg. Dmg. : 38.3102
07-07-14-02 - Avg. Dmg. : 38.3079
12-02-12-04 - Avg. Dmg. : 38.3079
14-01-09-06 - Avg. Dmg. : 38.3051
04-14-06-06 - Avg. Dmg. : 38.3007
17-01-11-01 - Avg. Dmg. : 38.2991
05-09-09-07 - Avg. Dmg. : 38.297
10-03-10-07 - Avg. Dmg. : 38.2969
17-02-02-09 - Avg. Dmg. : 38.2965
06-20-03-01 - Avg. Dmg. : 38.2931
13-04-01-12 - Avg. Dmg. : 38.2921
14-04-00-12 - Avg. Dmg. : 38.2921
19-01-04-06 - Avg. Dmg. : 38.2894
04-17-02-07 - Avg. Dmg. : 38.2878
14-01-10-05 - Avg. Dmg. : 38.2863
04-16-02-08 - Avg. Dmg. : 38.2858
11-03-06-10 - Avg. Dmg. : 38.2836
13-02-06-09 - Avg. Dmg. : 38.2833
12-03-14-01 - Avg. Dmg. : 38.2829
17-03-00-10 - Avg. Dmg. : 38.2824
20-10-00-00 - Avg. Dmg. : 38.2778
08-05-14-03 - Avg. Dmg. : 38.2745
18-00-08-04 - Avg. Dmg. : 38.2745
07-06-06-11 - Avg. Dmg. : 38.2743
05-10-04-11 - Avg. Dmg. : 38.2739
04-16-05-05 - Avg. Dmg. : 38.2737
14-01-11-04 - Avg. Dmg. : 38.2709
18-01-04-07 - Avg. Dmg. : 38.2708
04-14-05-07 - Avg. Dmg. : 38.2693
21-07-02-00 - Avg. Dmg. : 38.2668
06-09-02-13 - Avg. Dmg. : 38.2632
10-03-12-05 - Avg. Dmg. : 38.2613
05-21-00-04 - Avg. Dmg. : 38.2611
06-08-04-12 - Avg. Dmg. : 38.257
20-01-04-05 - Avg. Dmg. : 38.2564
17-00-09-04 - Avg. Dmg. : 38.2539
21-02-06-01 - Avg. Dmg. : 38.2513
05-09-07-09 - Avg. Dmg. : 38.251
21-03-06-00 - Avg. Dmg. : 38.2506
20-02-08-00 - Avg. Dmg. : 38.2486
11-05-01-13 - Avg. Dmg. : 38.248
06-08-13-03 - Avg. Dmg. : 38.2478
18-00-09-03 - Avg. Dmg. : 38.2443
05-09-10-06 - Avg. Dmg. : 38.2433
11-04-03-12 - Avg. Dmg. : 38.2399
04-15-06-05 - Avg. Dmg. : 38.2375
05-19-04-02 - Avg. Dmg. : 38.2353
07-20-03-00 - Avg. Dmg. : 38.2337
04-15-02-09 - Avg. Dmg. : 38.2335
08-05-06-11 - Avg. Dmg. : 38.2332
09-06-15-00 - Avg. Dmg. : 38.2328
04-14-04-08 - Avg. Dmg. : 38.2278
05-12-01-12 - Avg. Dmg. : 38.2275
12-02-08-08 - Avg. Dmg. : 38.2264
12-05-00-13 - Avg. Dmg. : 38.2264
04-17-04-05 - Avg. Dmg. : 38.2238
06-07-07-10 - Avg. Dmg. : 38.2234
07-09-14-00 - Avg. Dmg. : 38.22
06-07-12-05 - Avg. Dmg. : 38.2194
16-01-12-01 - Avg. Dmg. : 38.2183
05-12-11-02 - Avg. Dmg. : 38.2162
10-03-09-08 - Avg. Dmg. : 38.215
04-18-01-07 - Avg. Dmg. : 38.2147
17-00-08-05 - Avg. Dmg. : 38.2122
06-12-12-00 - Avg. Dmg. : 38.2087
04-17-01-08 - Avg. Dmg. : 38.2036
21-08-00-01 - Avg. Dmg. : 38.2026
05-09-11-05 - Avg. Dmg. : 38.2014
05-15-09-01 - Avg. Dmg. : 38.2007
04-19-00-07 - Avg. Dmg. : 38.1979
18-00-07-05 - Avg. Dmg. : 38.1941
20-01-08-01 - Avg. Dmg. : 38.1929
04-13-07-06 - Avg. Dmg. : 38.1928
14-01-08-07 - Avg. Dmg. : 38.1921
16-01-05-08 - Avg. Dmg. : 38.1908
04-14-03-09 - Avg. Dmg. : 38.1898
06-10-13-01 - Avg. Dmg. : 38.1888
19-00-08-03 - Avg. Dmg. : 38.1857
12-03-04-11 - Avg. Dmg. : 38.1801
07-07-03-13 - Avg. Dmg. : 38.1777
05-11-02-12 - Avg. Dmg. : 38.1728
17-00-10-03 - Avg. Dmg. : 38.1724
04-18-02-06 - Avg. Dmg. : 38.1697
19-00-07-04 - Avg. Dmg. : 38.1665
04-14-07-05 - Avg. Dmg. : 38.1653
07-06-14-03 - Avg. Dmg. : 38.165
04-13-05-08 - Avg. Dmg. : 38.1636
07-09-00-14 - Avg. Dmg. : 38.1624
21-02-02-05 - Avg. Dmg. : 38.1621
09-04-14-03 - Avg. Dmg. : 38.156
10-05-15-00 - Avg. Dmg. : 38.1555
05-16-08-01 - Avg. Dmg. : 38.1544
06-18-06-00 - Avg. Dmg. : 38.1541
21-03-00-06 - Avg. Dmg. : 38.1535
21-01-05-03 - Avg. Dmg. : 38.1524
15-02-13-00 - Avg. Dmg. : 38.1507
10-05-02-13 - Avg. Dmg. : 38.15
14-01-12-03 - Avg. Dmg. : 38.1488
15-01-06-08 - Avg. Dmg. : 38.1485
12-02-13-03 - Avg. Dmg. : 38.1473
04-18-03-05 - Avg. Dmg. : 38.1458
22-04-01-03 - Avg. Dmg. : 38.1448
04-17-00-09 - Avg. Dmg. : 38.1447
05-09-06-10 - Avg. Dmg. : 38.1434
13-03-14-00 - Avg. Dmg. : 38.1418
18-00-10-02 - Avg. Dmg. : 38.1391
11-03-14-02 - Avg. Dmg. : 38.1364
05-21-01-03 - Avg. Dmg. : 38.1347
04-13-08-05 - Avg. Dmg. : 38.1315
05-17-07-01 - Avg. Dmg. : 38.1292
04-16-06-04 - Avg. Dmg. : 38.129
04-13-06-07 - Avg. Dmg. : 38.1257
14-02-04-10 - Avg. Dmg. : 38.1249
21-08-01-00 - Avg. Dmg. : 38.1244
21-01-06-02 - Avg. Dmg. : 38.1236
08-06-03-13 - Avg. Dmg. : 38.1233
10-03-13-04 - Avg. Dmg. : 38.1222
08-06-15-01 - Avg. Dmg. : 38.1216
17-01-04-08 - Avg. Dmg. : 38.1209
22-04-02-02 - Avg. Dmg. : 38.1198
19-01-03-07 - Avg. Dmg. : 38.1196
05-14-10-01 - Avg. Dmg. : 38.1182
